Abitur,A levels
verpesten,to pollute
verschieden,different
verschlafen,sleepy
verschlimmbessern,to improve something for the worse
verschmutzt,polluted
verschwenden,to waste
verspätet,delayed
versuchen,to try
voller,full of
vorstellen,to present
vorziehen,to prefer
wahnsinnig gut,insanely good
wahrscheinlich,probably
wandern,to hike
warten,to wait
wechselhaft,changeable
wechseln,to change (money)
wegwerfen,to discard
weinen,to cry
wesentlich,important
wiederbenutzen,to reuse
wiederholen,to repeat
wissen,to know
witzig,funny
wohl,well
wolkig,cloudy
wünschen,to desire
zahlreiche,numerous
zeichnen,to draw
zeitaufwändig,time consuming
zu Hause,at home
zufrieden,satisfied
Änderungen,changes
öffentlichen Verkehrsmitteln,public transport
öffnungszeiten,working hours
ökologisch,ecological
üblich,common
